title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Strongbow Original Cider - 2L SUB Keg,Cider,4.5,200.0,Torp,True,8.49,https://www.beerwulf.com/globalassets/strongbow-original-cider---sub-keg_beer_22287_0.png,https://www.beerwulf.com/en-gb/p/beers/strongbow-original-cider--2l-keg,05-Jun-2022 11:05:39
Gallia West IPA - 2L SUB Keg,IPA,6.0,200.0,Torp,True,11.6175,https://www.beerwulf.com/globalassets/gallia-west-ipa---sub-keg-v2_beer_24042_0.png,https://www.beerwulf.com/en-gb/p/beers/gallia-west-ipa-2l--keg,05-Jun-2022 11:05:39
Affligem Blond - 2L SUB Keg,Blond Beer,6.8,200.0,Torp,True,9.99,https://www.beerwulf.com/globalassets/affligem-blond-2l-keg_1_02.png,https://www.beerwulf.com/en-gb/p/beers/affligem-blond-2l-keg,05-Jun-2022 11:05:39
Cruzcampo Especial - 2L SUB Keg,Lager,5.6,200.0,Torp,True,9.49,https://www.beerwulf.com/globalassets/cruzcampo-especial-2l-keg_1_1.png,https://www.beerwulf.com/en-gb/p/beers/cruzcampo-especial-2l-keg,05-Jun-2022 11:05:39
Fischer Tradition - 5L Draught Keg,Lager,6.0,500.0,DraughtKeg,True,16.79,https://www.beerwulf.com/globalassets/fischer-tradition-5l-keg_1_0.png,https://www.beerwulf.com/en-gb/p/beers/fischer-tradition-5l-keg,05-Jun-2022 11:05:39
Tiger - 2L SUB Keg,Lager,4.8,200.0,Torp,True,9.49,https://www.beerwulf.com/globalassets/tiger-2l-keg_1_0.png,https://www.beerwulf.com/en-gb/p/beers/tiger-2l-keg,05-Jun-2022 11:05:39
The Lager Home Bar Accessory Bundle,,,1600.0,,True,71.93,https://www.beerwulf.com/globalassets/4-heineken--4-bm-lautentica--bw-bar-mat-sku-collection-_skucollection_24232_0.png,https://www.beerwulf.com/en-gb/p/beercases/The-Lager-Home-Bar-Accessory-Bundle,05-Jun-2022 11:05:39
The SUB Compact Party Starter Pack,,,1600.0,,True,149.0,https://www.beerwulf.com/globalassets/sub--4-bm-lautentica--4-amstel_skucollection_23727_0.png,https://www.beerwulf.com/en-gb/p/beercases/SUB-Compact-4lautentica-4amstel,05-Jun-2022 11:05:39
Amstel - 8L BLADE Keg,Lager,4.1,800.0,BladeKeg,True,21.7425,https://www.beerwulf.com/globalassets/amstel---blade-keg_beer_22674_03.png,https://www.beerwulf.com/en-gb/p/beers/amstel-8l-keg,05-Jun-2022 11:05:39
BLADE Birra Moretti Starter Pack,,,1600.0,,True,450.0,https://www.beerwulf.com/globalassets/blade-2x-birra-moretti-8l-keg_03.png,https://www.beerwulf.com/en-gb/p/beercases/blade-birra-moretti-8l-keg,05-Jun-2022 11:05:39
BLADE Birra Moreretti Starter Pack + Glasses,,,1600.0,,True,475.0,https://www.beerwulf.com/globalassets/blade--2-bm-lautentica---8l--6-bm-glasses_skucollection_24307_0.png,https://www.beerwulf.com/en-gb/p/beercases/BLADE-Birra-Moreretti-Starter-Pack-Glasses,05-Jun-2022 11:05:39
Zipfer Urtyp - 8L BLADE Keg,Lager,5.4,800.0,BladeKeg,True,31.99,https://www.beerwulf.com/globalassets/zipfer-urtyp---blade-keg_beer_15790_0.png,https://www.beerwulf.com/en-gb/p/beers/zipfer-urtyp-8l-keg,05-Jun-2022 11:05:39
IPA Beer Case,,,402.0,,True,39.99,https://www.beerwulf.com/globalassets/ipa-beer-case-2022-v2_pack_24102_1.png,https://www.beerwulf.com/en-gb/p/beercases/I-P-A-beer-case,05-Jun-2022 11:05:39
Hapkin - 8L BLADE Keg,Blond Beer,8.3,800.0,BladeKeg,True,42.99,https://www.beerwulf.com/globalassets/hapkin---blade-keg_beer_20561_0.png,https://www.beerwulf.com/en-gb/p/beers/hapkin-8l-keg,05-Jun-2022 11:05:39
Beerwulf Home Draught Kit,,,0.0,,True,30.591,https://www.beerwulf.com/globalassets/beerwulf-home-draught-kit_pack_22783_03.png,https://www.beerwulf.com/en-gb/p/beercases/beerwulf-home-draught-kit,05-Jun-2022 11:05:39
