title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Kapittel Watou Triple Abt 10,Tripel Beer,10.0,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/kapittel-watou-triple-abt-10.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kapittel-watou-triple-abt-10.33,05-Dec-2021 18:39:23
Paulaner Weissbier,German Wheat Beer,5.5,50.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/paulaner-hefeweizen-naturtrub.5_1_0.png,https://www.beerwulf.com/en-gb/p/beers/paulaner-hefeweizen-naturtrub,05-Dec-2021 18:39:23
De Molen Vuur & Vlam IPA,IPA,6.2,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/de-molen-vuur--vlam-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/de-molen-vuur--vlam-ipa.33,05-Dec-2021 18:39:23
La Trappe Blond,Blond Beer,6.5,33.0,Bottle,True,2.59,https://www.beerwulf.com/globalassets/la_trappe_trappist_blond.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-blond33,05-Dec-2021 18:39:23
Brouwerij Noordt Noordtsingle,Lager,4.5,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/brouwerij-noordt-noordtsingel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brouwerij-noordt-noordtsingle2,05-Dec-2021 18:39:23
Jopen Jacobus RPA,Pale Ale,5.5,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/jopen-jacobus-rpa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/jopen-jacobus-rpa2,05-Dec-2021 18:39:23
BrewDog Dead Pony Club Can,Pale Ale,3.8,33.0,Can,True,2.49,https://www.beerwulf.com/globalassets/brewdog-dead-pony-club-can.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-dead-pony-club-can.33,05-Dec-2021 18:39:23
Beavertown Bloody Ell,IPA,5.5,33.0,Can,True,2.89,https://www.beerwulf.com/globalassets/beavertown-bloody-ell2.33_1_0,https://www.beerwulf.com/en-gb/p/beers/beavertown-bloody-ell.33,05-Dec-2021 18:39:23
St. Feuillien Tripel,Tripel Beer,8.5,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/st-feuillien-tripel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-tripel.33,05-Dec-2021 18:39:23
Blanche De Silly,White Beer,5.0,25.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/blanche-de-silly.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/blanche-de-silly2,05-Dec-2021 18:39:23
Houblon Chouffe,IPA,9.0,33.0,Bottle,True,3.29,https://www.beerwulf.com/globalassets/la-chouffe-houblon.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/la-chouffe-houblon2,05-Dec-2021 18:39:23
Westmalle Dubbel,Dubbel Beer,7.0,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/westmalle-dubbel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/westmalle-dubbel2,05-Dec-2021 18:39:23
Chimay Blauw,Quadrupel Beer,9.0,33.0,Bottle,True,3.39,https://www.beerwulf.com/globalassets/chimay-blauw.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/chimay-blue.33,05-Dec-2021 18:39:23
De Koninck Triple D'Anvers,Tripel Beer,8.0,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/de-koninck-triple-danvers.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/de-koninck-triple-danvers2,05-Dec-2021 18:39:23
St. Feuillien Five,Blond Beer,5.0,33.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/st.-feuillien-fivebottle.33_14916_0.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-five-bottle-.33,05-Dec-2021 18:39:23
Gallia West IPA,IPA,6.0,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/gallia-west-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/gallia-west-ipa.33,05-Dec-2021 18:39:23
Murphy's Irish Stout,Porter & Stout,4.0,50.0,Can,True,2.49,https://www.beerwulf.com/globalassets/murphys-irish-stout.5_1_1.png,https://www.beerwulf.com/en-gb/p/beers/murphys-irish-stout.5,05-Dec-2021 18:39:23
Sol,Lager,4.5,33.0,Bottle,True,1.79,https://www.beerwulf.com/globalassets/sol.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/sol.33,05-Dec-2021 18:39:23
