BeerID,Title,Style,Container Type,InStock Status,Image Link,Details Link,Alcohol %,Volume (cl),Price (£)
B1046,Lindemans Kriek,Fruit Beer,Bottle,True,https://www.beerwulf.com/globalassets/lindemans-kriek.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lindemans-kriek.25,3.5,25.0,2.19
B1047,La Trappe Quadrupel,Quadrupel Beer,Bottle,True,https://www.beerwulf.com/globalassets/la-trappe-quadrupel33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-quadrupel33,10.0,33.0,3.29
B1048,Gulpener Château Neubourg,Pilsner & Hoppy Lager,Bottle,True,https://www.beerwulf.com/globalassets/gulpener-chateau-neubourg.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/gulpener-chateau-neubourg.33,5.5,33.0,2.69
B1049,Hertog Jan Grand Prestige,Barley Wine,Bottle,True,https://www.beerwulf.com/globalassets/hertog-jan-grand-prestige.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hertog-jan-grand-prestige.3,10.0,30.0,2.99
B1050,Brewdog Elvis Juice Can,Lager,Can,True,https://www.beerwulf.com/globalassets/brewdog-elvis-juice-can.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-elvis-juice-can.33,6.5,33.0,2.89
B1051,Beavertown Gamma Ray,Pale Ale,Can,True,https://www.beerwulf.com/globalassets/beavertown-gamma-ray.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-gamma-ray.33,5.4,33.0,2.59
B1052,Beavertown Neck Oil,IPA,Can,True,https://www.beerwulf.com/globalassets/beavertown-neck-oil.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-neck-oil.33,4.3,33.0,2.59
B1053,Peroni Nastro Azzurro,Lager,Bottle,True,https://www.beerwulf.com/globalassets/peroni-nastro-azzurro.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/peroni-nastro-azzurro.33,5.1,33.0,2.49
B1054,Maisel & Friends Hoppy Hell,Lager,Bottle,True,https://www.beerwulf.com/globalassets/maisel-friends-hoppy-hell_15525_0.png,https://www.beerwulf.com/en-gb/p/beers/maisel--friends-hoppy-hell-bottle-.33,5.3,33.0,2.39
B1055,Bush Caractère,Quadrupel Beer,Bottle,True,https://www.beerwulf.com/globalassets/bush-amber.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/bush-amber.33,12.0,33.0,3.49
B1056,Brugse Zot Blond,Blond Beer,Bottle,True,https://www.beerwulf.com/globalassets/brugse-zot-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brugse-zot-blond.33,6.0,33.0,2.69
B1057,Duvel,Blond Beer,Bottle,True,https://www.beerwulf.com/globalassets/duvel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/duvel2,8.5,33.0,3.09
B1058,Lefort Tripel,Tripel Beer,Bottle,True,https://www.beerwulf.com/globalassets/lefort-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/lefort-tripel.33,8.8,33.0,3.09
B1059,Grisette Triple Bio,Tripel Beer,Bottle,True,https://www.beerwulf.com/globalassets/grisette-triple-bio.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/grisette-triple-bio.25,8.0,25.0,2.49
B1060,Gallia Session IPA,IPA,Bottle,True,https://www.beerwulf.com/globalassets/gallia-session-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/gallia-session-ipa.33,4.3,33.0,2.89
B1061,"Budels Malty Dark 0,0%",Bock Beer,Bottle,True,https://www.beerwulf.com/globalassets/budels-malty-dark-00.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/budels-malty-dark-00.33,0.0,30.0,2.49
B1062,Affligem Blond 0.0%,Blond Beer,Bottle,True,https://www.beerwulf.com/globalassets/affligem-blond-0.0_2_1.png,https://www.beerwulf.com/en-gb/p/beers/affligem-blond-0-0,0.0,30.0,1.79
